model,bits,BPT,bits_per_byte,tokens_eval
EleutherAI/pythia-410m,16,4.268797073115052,0.9558357636387881,50176
EleutherAI/pythia-410m,8,4.82481661833011,1.0803353258095671,50176
EleutherAI/pythia-410m,4,16.892321175510794,3.7823968752498387,50176
EleutherAI/pythia-410m,3,16.04998232988972,3.5937869273051115,50176
EleutherAI/pythia-410m,2,15.610411184618862,3.495361583088187,50176
EleutherAI/pythia-1.4b,16,3.811226743062697,0.8533801822764043,50176
EleutherAI/pythia-1.4b,8,3.8468225749468754,0.8613505234682248,50176
EleutherAI/pythia-1.4b,4,16.89968186449492,3.7840450233476624,50176
EleutherAI/pythia-1.4b,3,15.746583930825219,3.5258523228979306,50176
EleutherAI/pythia-1.4b,2,15.621682239625807,3.4978853098629807,50176
