matrix,shape,n_bits,weight_mse,weight_cosine,weight_sqnr_db,output_mse,output_cosine,scale,n_unique_values
attn_qkv,3072x1024,8,4.9472766e-07,0.9991525296822752,31.676650047302246,5.016148e-06,0.9996612685436785,0.0024375615157480315,197
attn_qkv,3072x1024,6,8.311678e-06,0.9980602438191889,19.42342519760132,8.5254556e-05,0.9943793860373438,0.009986139112903226,56
attn_qkv,3072x1024,5,3.5389854e-05,0.9830149913556564,13.131524324417114,0.00036286094,0.9756565745434785,0.020638020833333333,28
attn_qkv,3072x1024,4,0.00015405804,0.9067206101287586,6.743468642234802,0.0015822859,0.9054426340843642,0.044224330357142856,14
attn_qkv,3072x1024,3,0.0005091329,0.6394500411341077,1.552000492811203,0.0051657376,0.6343471481383509,0.10319010416666667,7
attn_qkv,3072x1024,2,0.00072572444,0.08202021979924842,0.012594916624948382,0.0073140226,0.0749816781476379,0.3095703125,3
attn_dense,1024x1024,8,2.8112103e-07,0.9987490587831166,29.908061027526855,2.8713443e-06,0.9994666082173091,0.0018377829724409449,191
attn_dense,1024x1024,6,4.7252197e-06,0.9911264052798373,17.652775049209595,4.9213668e-05,0.9911907987265235,0.00752898185483871,56
attn_dense,1024x1024,5,2.016813e-05,0.9646905205594385,11.350338459014893,0.00020663854,0.9653874315998522,0.015559895833333334,29
attn_dense,1024x1024,4,9.046824e-05,0.8635088415734108,4.8320335149765015,0.0009276067,0.8660227650300654,0.03334263392857143,15
attn_dense,1024x1024,3,0.000247588,0.4170528498529204,0.4596984013915062,0.002517269,0.40747014792665304,0.07779947916666667,7
attn_dense,1024x1024,2,0.00027352993,0.10077698285238672,0.026945846620947123,0.0028423956,0.07307459935885788,0.2333984375,3
mlp_dense_h_to_4h,4096x1024,8,7.7933265e-08,0.9994958368024034,38.55086803436279,8.0746526e-07,0.9999366733269387,0.0009669506643700788,236
mlp_dense_h_to_4h,4096x1024,6,1.3078835e-06,0.9950411942618779,26.302406787872314,1.3087172e-05,0.9988472877973994,0.003961378528225807,61
mlp_dense_h_to_4h,4096x1024,5,5.5864557e-06,0.9940253350275109,19.99673366546631,5.7207984e-05,0.9950078458430108,0.008186848958333333,31
mlp_dense_h_to_4h,4096x1024,4,2.563434e-05,0.9788250822901614,13.379876613616943,0.00026272068,0.9778796570968363,0.017543247767857144,15
mlp_dense_h_to_4h,4096x1024,3,0.00013928763,0.8921728793603892,6.028972268104553,0.0014452684,0.8945328636535582,0.040934244791666664,7
mlp_dense_h_to_4h,4096x1024,2,0.0005404444,0.2863296501469164,0.1405871845781803,0.005489796,0.28822450901644386,0.122802734375,3
mlp_dense_4h_to_h,1024x4096,8,3.8801483e-07,1.0031507988945296,29.19724464416504,1.5867152e-05,0.9993973820701125,0.002158818282480315,160
mlp_dense_4h_to_h,1024x4096,6,6.518172e-06,0.983746305485195,16.944469213485718,0.00026607505,0.9900117642336397,0.008844191028225807,50
mlp_dense_4h_to_h,1024x4096,5,2.7816764e-05,0.9621203802723254,10.642660856246948,0.0011451428,0.9591830363209648,0.018277994791666665,26
mlp_dense_4h_to_h,1024x4096,4,0.00012508374,0.8377530406662614,4.113718271255493,0.005170839,0.8414982033327338,0.03916713169642857,14
mlp_dense_4h_to_h,1024x4096,3,0.0003083424,0.3136696059299381,0.19539456814527512,0.012790487,0.31128334512980405,0.09138997395833333,6
mlp_dense_4h_to_h,1024x4096,2,0.00032234253,0.032204599097004245,0.002550572098698467,0.013135591,0.04161420473003209,0.274169921875,3
